BusinessName,City,Phone,Website,AfterHoursVoicemail,FormTestResult,ResponseTimeMinutes,Notes,Status,NextFollowUpDate,LastContactDate,ContactEmail,ContactFormUrl
Patriot Comfort Services,Forney,+14698682668,https://patriotcomfortservices.com/,,,,"Contact:https://patriotcomfortservices.com/contact-us; MapsAddress: 9558 Helms Trail # 800, Forney, TX 75126",New,,,contact@patriotcomfortservices.com,https://patriotcomfortservices.com/contact-us
Bragg HVAC,Forney,+19725649256,https://www.bragghvactx.com/,,,,"Alt phone 972-564-9256; Contact:https://www.bragghvactx.com/contact-for-hvac-estimate; MapsAddress: 10913 Richard Cir, Forney, TX 75126;OutreachEmail1Sent:2026-02-03 angle=1-missed-call",Contacted,2026-02-05,2026-02-03,bragghvactx@gmail.com,https://www.bragghvactx.com/contact-for-hvac-estimate
Premier HVAC Services,Forney,+14697204539,https://premierhvacservicesllc.com/,,,,"Contact:https://premierhvacservicesllc.com/contact-us/; MapsAddress: 7761 FM741, Forney, TX 75126;OutreachEmail1Sent:2026-02-03 angle=2-after-hours",Contacted,2026-02-05,2026-02-03,markw@premierhvacservicesllc.com,https://premierhvacservicesllc.com/contact-us/
Williams Services Air Conditioning & Heating LLC,Forney,+12146765909,https://www.williamscool.com/,,,,"web_fetch readability returned minimal content; may require different extraction or JS for phone/email.; MapsAddress: 1033 Edgefield Lane, Forney, TX 75126",New,,,,https://www.williamscool.com/#contact-us
Infinity Texas Air,Forney,+19727341903,https://www.infinitytxair.com/?utm_source=google&utm_medium=gbp&se_campaign=GBP,,,,"Also plumbing; need phone from site/contact; Contact:https://www.infinitytxair.com/contact-us/; MapsAddress: 12025 Lewis Cir, Forney, TX 75126",New,,,,https://www.infinitytxair.com/contact-us/
Willard Cooling Heating Plumbing & Electrical,Forney,+14692750391,https://willardac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*222*willard-heating-forney,,,,"Contact:https://willard1.wpenginepowered.com/contact/; MapsAddress: 207 US-80, Forney, TX 75126",New,,,info@willardac.com,https://willardac.com/contact/
One Hour Heating & Air Conditioning (Mesquite/Forney),Forney,+19726343275,https://www.onehourheatandair.com/mesquite-forney/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main,,,,"MapsAddress: 4111 US-80 STE 407, Mesquite, TX 75150",New,,,rajesh.george@onehourair.com,https://www.onehourheatandair.com/mesquite-forney/#sb_scheduler
Seaton Services,Forney,+14695034794,http://seatonsvcs.com/,,,,"Site appears to require JS redirect (/lander) — web_fetch cannot extract contact info.; MapsAddress: 13475 Reeder Rd suite D, Forney, TX 75126; WebsiteDead: parked domain/lander",New,,,,
GreenTech DFW,Carrollton,+14695516806,https://www.greentechdfw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,"Contact:https://www.greentechdfw.com/contact-us; MapsAddress: 1536 Hutton Dr Suite 110, Carrollton, TX 75006;OutreachEmail1Sent:2026-02-03 angle=4-clean-summary",Contacted,2026-02-05,2026-02-03,lucas.chen@greentechdfw.com,https://www.greentechdfw.com/contact-us
Choice Heating and Air Conditioning,Rockwall/Fate,+19727719750,https://choiceheatandair.com/,,,,"Contact:https://choiceheatandair.com/contact-us/; Alt phone 972-316-9599 (from contact page); MapsAddress: 101 C B Davidson, Rockwall, TX 75087",New,,,,https://choiceheatandair.com/contact-us/
