BusinessName,City,Phone,Website,AfterHoursVoicemail,FormTestResult,ResponseTimeMinutes,Notes,Status,NextFollowUpDate,LastContactDate,ContactEmail,ContactFormUrl
Patriot Comfort Services,Forney,+14698682668,https://patriotcomfortservices.com/,,,,"Contact:https://patriotcomfortservices.com/contact-us; MapsAddress: 9558 Helms Trail # 800, Forney, TX 75126;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,contact@patriotcomfortservices.com,https://patriotcomfortservices.com/contact-us
Bragg HVAC,Forney,+19725649256,https://www.bragghvactx.com/,,,,"Alt phone 972-564-9256; Contact:https://www.bragghvactx.com/contact-for-hvac-estimate; MapsAddress: 10913 Richard Cir, Forney, TX 75126;OutreachEmail1Sent:2026-02-03 angle=1-missed-call;OutreachEmail2Sent:2026-02-06;OutreachEmail3Sent:2026-02-09",Contacted,2026-02-12,2026-02-09,bragghvactx@gmail.com,https://www.bragghvactx.com/contact-for-hvac-estimate
Premier HVAC Services,Forney,+14697204539,https://premierhvacservicesllc.com/,,,,"Contact:https://premierhvacservicesllc.com/contact-us/; MapsAddress: 7761 FM741, Forney, TX 75126;OutreachEmail1Sent:2026-02-03 angle=2-after-hours;OutreachEmail2Sent:2026-02-06;OutreachEmail3Sent:2026-02-09",Contacted,2026-02-12,2026-02-09,markw@premierhvacservicesllc.com,https://premierhvacservicesllc.com/contact-us/
Willard Cooling Heating Plumbing & Electrical,Forney,+14692750391,https://willardac.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*222*willard-heating-forney,,,,"Contact:https://willard1.wpenginepowered.com/contact/; MapsAddress: 207 US-80, Forney, TX 75126;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,info@willardac.com,https://willardac.com/contact/
One Hour Heating & Air Conditioning (Mesquite/Forney),Forney,+19726343275,https://www.onehourheatandair.com/mesquite-forney/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main,,,,"MapsAddress: 4111 US-80 STE 407, Mesquite, TX 75150;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,rajesh.george@onehourair.com,https://www.onehourheatandair.com/mesquite-forney/#sb_scheduler
GreenTech DFW,Carrollton,+14695516806,https://www.greentechdfw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,,,"Contact:https://www.greentechdfw.com/contact-us; MapsAddress: 1536 Hutton Dr Suite 110, Carrollton, TX 75006;OutreachEmail1Sent:2026-02-03 angle=4-clean-summary;OutreachEmail2Sent:2026-02-06;OutreachEmail3Sent:2026-02-09",Contacted,2026-02-12,2026-02-09,lucas.chen@greentechdfw.com,https://www.greentechdfw.com/contact-us
TexSun Heat & Air Inc.,Quinlan,+19729744508,http://texsunhvac.com/,,,,"Contact:https://www.texsunhvac.com/contact; MapsAddress: 7201 FM2101, Quinlan, TX 75474;OutreachEmail1Sent:2026-02-03 angle=5-website-form;OutreachEmail2Sent:2026-02-06;OutreachEmail3Sent:2026-02-09",Contacted,2026-02-12,2026-02-09,texsunhvac@gmail.com,https://www.texsunhvac.com/contact
Burton Heat and Air,Rockwall,+14696234288,http://www.burtonheatandair.com/,,,,"Contact:https://burtonheatandair.com/#contactus; MapsAddress: 405 Blue Sage, Rockwall, TX 75087;OutreachEmail1Sent:2026-02-03 angle=1-missed-call;OutreachEmail2Sent:2026-02-06;OutreachEmail3Sent:2026-02-09",Contacted,2026-02-12,2026-02-09,service@burtonheatandair.com,https://burtonheatandair.com/#contactus
Xtreme Air Services,Sunnyvale,+19722882263,https://xtremeairservices.com/,,,,"Email found in page text; Contact:https://xtremeairservices.com/forney-ac-repair/; MapsAddress: 308 U.S. 80 Frontage Rd, Sunnyvale, TX 75182;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,servicetoday@xtremeairservices.com,https://xtremeairservices.com/contact/
"Swan Electric, Plumbing, Heating & Air",Sunnyvale,+14692409295,http://callswan.com/,,,,"Contact:https://www.callswan.com/contact-us; MapsAddress: 309 U.S. 80 Frontage Rd, Sunnyvale, TX 75182;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,dispatch@callswan.com,https://www.callswan.com/contact
Tempo Air,Irving,+19725792000,https://tempoair.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,,,"Phone found in page text; Contact:https://tempoair.com/locations/ac-repair-forney-tx/; MapsAddress: 911 Maryland Dr, Irving, TX 75061;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,info@tempoair.com,https://tempoair.com/contact-us/
A#1 Air,Lewisville,+19724600001,https://anumber1air.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*319*a1-air-lewisville,,,,"Readable extract did not include a phone number (may be header/JS-rendered). Contact:https://anumber1air.com/contact-us/; MapsAddress: 601 E Corporate Dr, Lewisville, TX 75057;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,info@anumber1air.com,https://anumber1air.com/contact/
On the Spot HVAC,Allen,+19729550786,https://onthespothvac.com/?utm_source=GBP&utm_medium=GBP,,,,"MapsAddress: 333 E Bethany Dr BLDG G, Allen, TX 75002;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,info@onthespothvac.com,https://onthespothvac.com/contact-us/
"StevenSons Heating & Air Conditioning, Inc.",Rowlett,+19724753227,https://www.stevensonshvac.com/,,,,"License TACLA10550C; phone (972) 475-3227 per service-area page/snippets.; MapsAddress: 5211 Gordon Smith Dr, Rowlett, TX 75088;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10",Contacted,2026-02-12,2026-02-10,tina@stevensonshvac.com,https://www.stevensonshvac.com/contact
Spencer Air Conditioning & Heating,Royse City,+19725446921,https://spencerairconditioning.com/heating-air-conditioning-royse-city-tx/,,,,Contact:https://spencerairconditioning.com/contact/;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10,Contacted,2026-02-12,2026-02-10,service@spencerairconditioning.com,https://spencerairconditioning.com/contact/
System Control Air Conditioning & Heating,Terrell,+19725249056,https://www.systemcontrolinc.com/,,,,Contact:https://www.systemcontrolinc.com/contact;OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10,Contacted,2026-02-12,2026-02-10,raneely@sbcglobal.net,https://www.systemcontrolinc.com/contact
Phillips AC and Heating,Terrell,+19725633922,https://www.phillipsacandheating.com/,,,,OutreachEmail1Sent:2026-02-06 angle=cold-email1;OutreachEmail2Sent:2026-02-10,Contacted,2026-02-12,2026-02-10,phillipsairheat@gmail.com,https://www.phillipsacandheating.com/contact
